date_key,date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,is_peak_season,fiscal_year
20230101,2023-01-01,2023,1,1,January,52,6,Sunday,1,0,2022
20230102,2023-01-02,2023,1,1,January,1,0,Monday,0,0,2022
20230103,2023-01-03,2023,1,1,January,1,1,Tuesday,0,0,2022
20230104,2023-01-04,2023,1,1,January,1,2,Wednesday,0,0,2022
20230105,2023-01-05,2023,1,1,January,1,3,Thursday,0,0,2022
20230106,2023-01-06,2023,1,1,January,1,4,Friday,0,0,2022
20230107,2023-01-07,2023,1,1,January,1,5,Saturday,1,0,2022
20230108,2023-01-08,2023,1,1,January,1,6,Sunday,1,0,2022
20230109,2023-01-09,2023,1,1,January,2,0,Monday,0,0,2022
20230110,2023-01-10,2023,1,1,January,2,1,Tuesday,0,0,2022
20230111,2023-01-11,2023,1,1,January,2,2,Wednesday,0,0,2022
20230112,2023-01-12,2023,1,1,January,2,3,Thursday,0,0,2022
20230113,2023-01-13,2023,1,1,January,2,4,Friday,0,0,2022
20230114,2023-01-14,2023,1,1,January,2,5,Saturday,1,0,2022
20230115,2023-01-15,2023,1,1,January,2,6,Sunday,1,0,2022
20230116,2023-01-16,2023,1,1,January,3,0,Monday,0,0,2022
20230117,2023-01-17,2023,1,1,January,3,1,Tuesday,0,0,2022
20230118,2023-01-18,2023,1,1,January,3,2,Wednesday,0,0,2022
20230119,2023-01-19,2023,1,1,January,3,3,Thursday,0,0,2022
20230120,2023-01-20,2023,1,1,January,3,4,Friday,0,0,2022
20230121,2023-01-21,2023,1,1,January,3,5,Saturday,1,0,2022
20230122,2023-01-22,2023,1,1,January,3,6,Sunday,1,0,2022
20230123,2023-01-23,2023,1,1,January,4,0,Monday,0,0,2022
20230124,2023-01-24,2023,1,1,January,4,1,Tuesday,0,0,2022
20230125,2023-01-25,2023,1,1,January,4,2,Wednesday,0,0,2022
20230126,2023-01-26,2023,1,1,January,4,3,Thursday,0,0,2022
20230127,2023-01-27,2023,1,1,January,4,4,Friday,0,0,2022
20230128,2023-01-28,2023,1,1,January,4,5,Saturday,1,0,2022
20230129,2023-01-29,2023,1,1,January,4,6,Sunday,1,0,2022
20230130,2023-01-30,2023,1,1,January,5,0,Monday,0,0,2022
20230131,2023-01-31,2023,1,1,January,5,1,Tuesday,0,0,2022
20230201,2023-02-01,2023,1,2,February,5,2,Wednesday,0,0,2022
20230202,2023-02-02,2023,1,2,February,5,3,Thursday,0,0,2022
20230203,2023-02-03,2023,1,2,February,5,4,Friday,0,0,2022
20230204,2023-02-04,2023,1,2,February,5,5,Saturday,1,0,2022
20230205,2023-02-05,2023,1,2,February,5,6,Sunday,1,0,2022
20230206,2023-02-06,2023,1,2,February,6,0,Monday,0,0,2022
20230207,2023-02-07,2023,1,2,February,6,1,Tuesday,0,0,2022
20230208,2023-02-08,2023,1,2,February,6,2,Wednesday,0,0,2022
20230209,2023-02-09,2023,1,2,February,6,3,Thursday,0,0,2022
20230210,2023-02-10,2023,1,2,February,6,4,Friday,0,0,2022
20230211,2023-02-11,2023,1,2,February,6,5,Saturday,1,0,2022
20230212,2023-02-12,2023,1,2,February,6,6,Sunday,1,0,2022
20230213,2023-02-13,2023,1,2,February,7,0,Monday,0,0,2022
20230214,2023-02-14,2023,1,2,February,7,1,Tuesday,0,0,2022
20230215,2023-02-15,2023,1,2,February,7,2,Wednesday,0,0,2022
20230216,2023-02-16,2023,1,2,February,7,3,Thursday,0,0,2022
20230217,2023-02-17,2023,1,2,February,7,4,Friday,0,0,2022
20230218,2023-02-18,2023,1,2,February,7,5,Saturday,1,0,2022
20230219,2023-02-19,2023,1,2,February,7,6,Sunday,1,0,2022
20230220,2023-02-20,2023,1,2,February,8,0,Monday,0,0,2022
20230221,2023-02-21,2023,1,2,February,8,1,Tuesday,0,0,2022
20230222,2023-02-22,2023,1,2,February,8,2,Wednesday,0,0,2022
20230223,2023-02-23,2023,1,2,February,8,3,Thursday,0,0,2022
20230224,2023-02-24,2023,1,2,February,8,4,Friday,0,0,2022
20230225,2023-02-25,2023,1,2,February,8,5,Saturday,1,0,2022
20230226,2023-02-26,2023,1,2,February,8,6,Sunday,1,0,2022
20230227,2023-02-27,2023,1,2,February,9,0,Monday,0,0,2022
20230228,2023-02-28,2023,1,2,February,9,1,Tuesday,0,0,2022
20230301,2023-03-01,2023,1,3,March,9,2,Wednesday,0,0,2022
20230302,2023-03-02,2023,1,3,March,9,3,Thursday,0,0,2022
20230303,2023-03-03,2023,1,3,March,9,4,Friday,0,0,2022
20230304,2023-03-04,2023,1,3,March,9,5,Saturday,1,0,2022
20230305,2023-03-05,2023,1,3,March,9,6,Sunday,1,0,2022
20230306,2023-03-06,2023,1,3,March,10,0,Monday,0,0,2022
20230307,2023-03-07,2023,1,3,March,10,1,Tuesday,0,0,2022
20230308,2023-03-08,2023,1,3,March,10,2,Wednesday,0,0,2022
20230309,2023-03-09,2023,1,3,March,10,3,Thursday,0,0,2022
20230310,2023-03-10,2023,1,3,March,10,4,Friday,0,0,2022
20230311,2023-03-11,2023,1,3,March,10,5,Saturday,1,0,2022
20230312,2023-03-12,2023,1,3,March,10,6,Sunday,1,0,2022
20230313,2023-03-13,2023,1,3,March,11,0,Monday,0,0,2022
20230314,2023-03-14,2023,1,3,March,11,1,Tuesday,0,0,2022
20230315,2023-03-15,2023,1,3,March,11,2,Wednesday,0,0,2022
20230316,2023-03-16,2023,1,3,March,11,3,Thursday,0,0,2022
20230317,2023-03-17,2023,1,3,March,11,4,Friday,0,0,2022
20230318,2023-03-18,2023,1,3,March,11,5,Saturday,1,0,2022
20230319,2023-03-19,2023,1,3,March,11,6,Sunday,1,0,2022
20230320,2023-03-20,2023,1,3,March,12,0,Monday,0,0,2022
20230321,2023-03-21,2023,1,3,March,12,1,Tuesday,0,0,2022
20230322,2023-03-22,2023,1,3,March,12,2,Wednesday,0,0,2022
20230323,2023-03-23,2023,1,3,March,12,3,Thursday,0,0,2022
20230324,2023-03-24,2023,1,3,March,12,4,Friday,0,0,2022
