product_id,sku,product_name,category,unit_cost,unit_price,base_daily_demand,is_seasonal,shelf_life_days,abc_class_hint
1,SKU-00001,Packaged Item 1,Packaged Foods,44.4,58.95,101.75,1,180,
2,SKU-00002,Personal Item 2,Personal Care,5.61,8.47,121.51,1,30,
3,SKU-00003,Office Item 3,Office Supplies,13.1,26.27,74.3,0,365,
4,SKU-00004,Home Item 4,Home & Kitchen,10.36,13.68,51.93,0,30,
5,SKU-00005,Office Item 5,Office Supplies,20.34,29.23,95.11,0,365,
6,SKU-00006,Personal Item 6,Personal Care,13.15,24.55,107.27,1,180,
7,SKU-00007,Automotive Item 7,Automotive Parts,29.96,57.81,19.03,0,180,
8,SKU-00008,Electronics Item 8,Electronics,41.99,71.57,158.78,0,180,
9,SKU-00009,Electronics Item 9,Electronics,3.57,5.62,50.65,0,365,
10,SKU-00010,Electronics Item 10,Electronics,21.59,42.05,40.45,0,180,
11,SKU-00011,Home Item 11,Home & Kitchen,7.22,12.09,188.31,0,30,
12,SKU-00012,Personal Item 12,Personal Care,28.7,39.98,164.37,1,365,
13,SKU-00013,Office Item 13,Office Supplies,5.07,9.29,29.35,0,30,
14,SKU-00014,Apparel Item 14,Apparel,27.48,37.77,15.91,1,365,
15,SKU-00015,Personal Item 15,Personal Care,2.38,3.67,90.44,1,180,
16,SKU-00016,Industrial Item 16,Industrial Parts,17.45,35.66,47.44,0,3650,
17,SKU-00017,Packaged Item 17,Packaged Foods,12.35,19.18,26.21,1,365,
18,SKU-00018,Apparel Item 18,Apparel,53.66,114.0,205.98,1,90,
19,SKU-00019,Apparel Item 19,Apparel,8.83,17.9,35.79,1,180,
20,SKU-00020,Electronics Item 20,Electronics,17.17,26.28,127.27,0,3650,
21,SKU-00021,Apparel Item 21,Apparel,5.6,11.77,45.82,1,3650,
22,SKU-00022,Apparel Item 22,Apparel,26.73,42.35,75.27,1,3650,
23,SKU-00023,Home Item 23,Home & Kitchen,93.29,143.31,141.67,0,3650,
24,SKU-00024,Personal Item 24,Personal Care,112.58,161.89,18.03,1,90,
25,SKU-00025,Home Item 25,Home & Kitchen,38.22,83.11,24.28,0,365,
26,SKU-00026,Packaged Item 26,Packaged Foods,82.06,116.41,58.58,1,365,
27,SKU-00027,Automotive Item 27,Automotive Parts,5.94,8.79,64.18,0,3650,
28,SKU-00028,Electronics Item 28,Electronics,20.71,29.23,126.03,0,3650,
29,SKU-00029,Electronics Item 29,Electronics,34.4,74.31,51.14,0,180,
30,SKU-00030,Industrial Item 30,Industrial Parts,25.6,47.89,36.8,0,90,
31,SKU-00031,Personal Item 31,Personal Care,131.22,280.77,79.16,1,3650,
32,SKU-00032,Apparel Item 32,Apparel,27.54,38.51,16.05,1,3650,
33,SKU-00033,Home Item 33,Home & Kitchen,6.94,14.44,5.9,0,365,
34,SKU-00034,Office Item 34,Office Supplies,61.8,116.6,42.89,0,3650,
35,SKU-00035,Home Item 35,Home & Kitchen,6.71,13.65,248.15,0,90,
36,SKU-00036,Industrial Item 36,Industrial Parts,28.26,57.71,22.62,0,180,
