supplier_id,supplier_code,supplier_name,country,archetype,base_otif_rate,base_lead_time_days,lead_time_volatility,defect_rate,cost_volatility,onboarded_year,is_single_source
1,SUP-0001,Perez Inc,Sri Lanka,excellent,0.978,5.9,0.47,0.0037,0.036,2014,0
2,SUP-0002,Morales-Jones,United States Minor Outlying Islands,excellent,0.97,9.3,2.86,0.004,0.037,2011,0
3,SUP-0003,"Walter, Edwards and Rios",Indonesia,reliable,0.897,6.1,2.02,0.0237,0.061,2016,0
4,SUP-0004,"Ellis, Baker and Wright",Monaco,average,0.77,3.1,0.41,0.0241,0.144,2010,1
5,SUP-0005,"Baker, Richards and Hurst",Iran,excellent,0.975,9.4,0.76,0.0061,0.044,2013,0
6,SUP-0006,Robinson-Bright,Malawi,reliable,0.934,7.6,1.85,0.0151,0.096,2021,0
7,SUP-0007,Davis-Williams,Bouvet Island (Bouvetoya),reliable,0.937,4.9,0.94,0.026,0.08,2018,1
8,SUP-0008,Burton Ltd,Jamaica,excellent,0.964,8.0,2.24,0.0025,0.049,2014,0
9,SUP-0009,"Brown, James and Ferrell",Marshall Islands,risky,0.669,5.8,1.26,0.0486,0.21,2011,1
10,SUP-0010,Maddox-Valencia,Algeria,excellent,0.99,10.2,2.29,0.0021,0.056,2023,0
11,SUP-0011,"Le, Maldonado and Herrera",Ethiopia,reliable,0.884,10.9,0.93,0.0159,0.083,2010,0
12,SUP-0012,"Peterson, Carter and Moore",Afghanistan,risky,0.601,14.3,3.95,0.0732,0.172,2018,0
13,SUP-0013,"Liu, Baker and Mason",Christmas Island,average,0.878,11.4,2.51,0.0354,0.081,2015,1
14,SUP-0014,"Gaines, Harrell and Evans",Northern Mariana Islands,risky,0.629,7.4,0.99,0.049,0.245,2015,0
15,SUP-0015,"Lynch, Hernandez and Farmer",Mauritius,risky,0.592,9.5,2.09,0.084,0.234,2011,0
16,SUP-0016,"Sellers, George and Burns",Bouvet Island (Bouvetoya),average,0.824,10.5,1.12,0.0471,0.141,2020,0
17,SUP-0017,Koch-Decker,Gambia,average,0.753,14.2,2.65,0.0313,0.13,2018,0
18,SUP-0018,Brown PLC,Yemen,average,0.803,5.6,1.02,0.0481,0.113,2014,0
