snapshot_id,snapshot_date,product_id,warehouse_id,inventory_on_hand,reorder_point,days_of_supply,week_demand
1,2024-08-05,76,4,250.7,129.4,24.0,64.9
2,2023-09-04,81,3,1315.7,450.2,15.2,363.5
3,2024-10-28,29,10,1082.9,898.5,13.3,426.1
4,2024-11-25,59,1,834.1,1199.3,3.0,2293.1
5,2023-05-15,20,2,0.0,1549.4,0.0,1138.6
6,2023-06-12,17,6,589.3,281.8,17.6,95.7
7,2023-05-15,26,7,1284.0,427.3,13.6,374.9
8,2024-09-02,10,2,409.1,363.6,6.1,432.5
9,2025-12-22,102,17,0.0,692.9,0.0,517.9
10,2023-11-27,55,19,258.5,1101.4,1.0,1216.3
11,2024-10-28,109,12,944.0,561.6,6.8,778.4
12,2023-07-10,21,5,240.3,191.8,6.2,161.8
13,2023-01-23,76,6,51.5,89.5,6.4,53.3
14,2023-01-01,80,18,222.5,413.2,3.3,700.2
15,2025-06-09,105,2,3352.6,1354.8,25.4,463.9
16,2023-12-25,56,19,1037.3,1707.1,5.5,1144.1
17,2024-03-18,77,5,0.0,171.9,0.0,157.5
18,2025-05-12,56,1,0.0,1470.0,0.0,1420.7
19,2025-12-22,107,21,187.0,411.7,2.6,473.0
20,2024-05-13,63,4,0.0,1340.9,0.0,1271.7
21,2024-07-08,25,13,144.6,87.9,7.3,89.3
22,2025-02-17,57,15,908.0,488.0,16.8,94.1
23,2025-02-17,34,19,630.8,260.5,10.6,291.8
24,2025-11-24,65,11,556.7,1060.4,3.7,428.7
25,2025-12-22,66,6,117.9,80.9,5.2,215.0
26,2024-02-19,31,16,1300.3,540.3,13.5,262.5
27,2025-07-07,94,2,384.6,421.7,4.6,193.5
28,2023-05-15,3,19,1120.7,474.2,11.3,401.3
29,2025-09-01,31,22,135.9,540.7,0.8,909.8
30,2024-02-19,106,21,450.7,466.9,6.0,275.0
31,2024-06-10,2,13,571.3,1169.0,4.9,786.9
32,2025-02-17,43,21,831.1,333.6,10.6,511.7
33,2025-07-07,19,19,0.0,292.9,0.0,494.8
34,2023-04-17,88,10,0.0,635.5,0.0,1444.0
35,2025-07-07,101,9,143.5,48.6,10.0,155.4
36,2024-10-28,47,4,1091.5,1113.1,4.2,3646.5
37,2024-06-10,90,11,80.7,35.8,14.4,51.0
38,2023-02-20,15,1,6125.7,1624.2,38.5,743.8
39,2023-02-20,38,8,593.5,362.2,8.0,482.5
40,2024-11-25,100,20,51.1,89.6,2.3,173.5
41,2024-04-15,75,19,1889.7,501.0,15.1,164.1
42,2023-09-04,71,7,645.0,579.4,11.1,185.7
43,2025-02-17,47,4,3270.0,1113.1,12.5,1590.0
44,2024-06-10,79,6,0.0,924.1,0.0,2320.3
45,2023-03-20,13,5,96.9,266.9,3.9,124.5
46,2024-06-10,73,18,561.0,767.1,8.5,381.3
47,2023-03-20,25,5,47.4,116.9,2.3,118.8
48,2023-11-27,40,5,0.0,700.9,0.0,560.5
49,2024-12-23,2,20,2077.7,1676.9,9.5,3267.7
50,2025-09-01,36,9,0.0,270.4,0.0,310.0
51,2023-05-15,42,10,714.0,730.0,5.4,479.6
52,2024-11-25,86,13,0.0,501.9,0.0,1140.7
53,2025-07-07,55,21,1357.7,1049.0,5.0,788.0
54,2024-07-08,19,4,640.7,209.1,10.2,292.2
