order_id,order_date,product_id,warehouse_id,region_id,customer_segment_id,supplier_id,transport_mode_id,order_qty,unit_price,revenue,order_status,promised_delivery_date,actual_delivery_date,is_late,is_outlier_qty
21891,2023-05-27,22,5,5,4,57,1.0,225,43.41,9768.31,Fulfilled,2023-06-04,2023-06-08,1,0
25376,2023-06-15,57,15,5,3,33,3.0,286,92.16,26357.18,Fulfilled,2023-07-02,2023-07-02,0,0
153724,2025-09-26,64,19,9,2,3,3.0,526,33.91,17834.41,Fulfilled,2025-10-03,2025-10-03,0,0
27704,2023-06-29,88,15,5,1,40,1.0,584,139.94,81725.04,Fulfilled,2023-07-09,2023-07-09,0,0
43274,2023-10-15,39,8,8,3,60,1.0,738,45.35,33466.87,Fulfilled,2023-10-22,2023-10-22,0,0
73943,2024-04-27,44,7,7,5,16,1.0,662,149.62,99049.75,Fulfilled,2024-05-08,2024-05-08,0,0
90145,2024-08-07,94,14,4,3,9,1.0,449,40.09,18002.57,Fulfilled,2024-08-13,2024-08-16,1,0
166264,2025-12-11,25,13,3,1,37,2.0,113,82.72,9347.66,Fulfilled,2025-12-16,2025-12-16,0,0
115046,2025-01-08,60,19,9,4,51,1.0,382,187.45,71606.66,Fulfilled,2025-01-14,2025-01-14,0,0
88847,2024-08-03,63,4,4,2,49,3.0,1198,31.3,37496.63,Fulfilled,2024-08-16,2024-08-16,0,0
141951,2025-07-13,43,20,10,2,53,4.0,423,42.92,18153.15,Fulfilled,2025-07-17,2025-07-17,0,0
78974,2024-06-01,20,21,1,3,27,4.0,953,25.75,24544.37,Fulfilled,2024-06-15,2024-06-15,0,0
83390,2024-06-26,39,12,2,3,60,2.0,633,43.03,27238.37,Fulfilled,2024-07-01,2024-07-01,0,0
136021,2025-05-26,86,20,10,1,37,4.0,755,110.82,83667.25,Fulfilled,2025-05-31,2025-06-01,1,0
100671,2024-10-18,64,17,7,5,3,1.0,892,33.16,29580.4,Fulfilled,2024-10-23,2024-10-23,0,0
131482,2025-05-02,50,20,10,1,5,4.0,706,166.92,117843.4,Fulfilled,2025-05-11,2025-05-11,0,0
34849,2023-08-16,58,18,8,3,23,3.0,1278,17.72,22645.93,Fulfilled,2023-08-21,2023-08-21,0,0
123847,2025-03-10,26,10,10,1,51,1.0,793,117.54,93208.56,Fulfilled,2025-03-15,2025-03-15,0,0
143443,2025-07-15,94,2,2,3,9,3.0,264,40.87,10790.29,Fulfilled,2025-07-22,2025-07-22,0,0
42337,2023-10-06,63,2,2,2,49,2.0,709,32.56,23083.51,Stockout,2023-10-16,2023-10-25,1,0
41701,2023-10-06,3,15,5,4,56,1.0,504,26.52,13364.91,Fulfilled,2023-10-15,2023-10-15,0,0
57927,2024-01-04,88,8,8,2,40,3.0,587,137.01,80424.79,Fulfilled,2024-01-14,2024-01-14,0,0
36584,2023-09-03,23,14,4,2,8,3.0,1117,147.12,164334.78,Fulfilled,2023-09-12,2023-09-12,0,0
83499,2024-06-25,50,9,9,3,5,2.0,619,170.5,105541.38,Fulfilled,2024-07-06,2024-07-06,0,0
85843,2024-07-10,81,4,4,4,50,1.0,710,45.61,32381.83,Fulfilled,2024-07-15,2024-07-17,1,0
84049,2024-06-30,119,14,4,4,1,1.0,482,2.66,1281.55,Fulfilled,2024-07-06,2024-07-06,0,0
35003,2023-08-17,76,16,6,2,48,4.0,23,21.7,499.19,Fulfilled,2023-08-30,2023-08-30,0,0
141430,2025-06-30,102,10,10,1,34,4.0,579,55.73,32266.67,Fulfilled,2025-07-11,2025-07-11,0,0
75779,2024-05-11,18,18,8,3,59,4.0,1218,114.25,139156.2,Fulfilled,2024-05-15,2024-05-15,0,0
19069,2023-05-03,58,21,1,3,23,2.0,521,17.45,9089.96,Stockout,2023-05-09,2023-05-18,1,0
29161,2023-07-10,18,21,1,2,59,2.0,619,112.44,69602.7,Fulfilled,2023-07-16,2023-07-16,0,0
41125,2023-09-30,55,21,1,1,55,2.0,920,95.46,87826.3,Fulfilled,2023-10-08,2023-10-11,1,0
39162,2023-09-13,72,22,2,2,12,1.0,392,119.06,46670.61,Fulfilled,2023-10-01,2023-10-01,0,0
167101,2025-12-09,111,20,10,2,20,2.0,210,46.4,9743.53,Fulfilled,2025-12-15,2025-12-15,0,0
54202,2023-12-17,61,4,4,2,46,2.0,211,6.68,1408.63,Fulfilled,2023-12-29,2023-12-29,0,0
166317,2025-12-09,31,1,1,1,15,1.0,586,277.69,162725.25,Fulfilled,2025-12-19,2025-12-19,0,0
30363,2023-07-21,35,16,6,1,38,1.0,614,13.63,8366.61,Fulfilled,2023-07-27,2023-07-27,0,0
163020,2025-11-23,58,1,1,3,23,1.0,1645,17.43,28667.28,Fulfilled,2025-11-28,2025-11-29,1,0
65188,2024-02-26,1,13,3,3,12,1.0,488,58.05,28328.35,Fulfilled,2024-03-12,2024-03-12,0,0
12483,2023-03-20,28,8,8,4,31,1.0,169,29.16,4928.21,Fulfilled,2023-04-04,2023-04-04,0,0
90385,2024-08-17,5,7,7,4,58,1.0,59,29.36,1732.24,Fulfilled,2024-08-22,2024-08-24,1,0
165191,2025-12-05,38,9,9,4,26,1.0,540,33.19,17925.02,Fulfilled,2025-12-14,2025-12-16,1,0
120585,2025-02-22,4,19,9,2,32,4.0,366,13.82,5057.5,Fulfilled,2025-02-28,2025-03-05,1,0
1326,2023-01-06,35,2,2,3,38,1.0,1112,13.62,15144.73,Stockout,2023-01-11,2023-01-16,1,0
22869,2023-05-30,16,22,2,3,53,2.0,509,35.73,18189.06,Fulfilled,2023-06-03,2023-06-03,0,0
103583,2024-11-07,1,3,3,3,12,2.0,569,59.82,34036.06,Fulfilled,2024-11-19,2024-11-22,1,0
131922,2025-04-30,104,10,10,1,31,1.0,278,39.01,10845.67,Stockout,2025-05-15,2025-05-26,1,0
89599,2024-08-05,33,19,9,5,25,3.0,20,14.83,296.6,Fulfilled,2024-08-14,2024-08-14,0,0
85116,2024-07-03,120,7,7,3,4,2.0,539,21.55,11615.71,Fulfilled,2024-07-06,2024-07-06,0,0
47191,2023-11-03,74,9,9,4,43,1.0,183,32.52,5951.71,Fulfilled,2023-11-10,2023-11-13,1,0
71916,2024-04-09,52,5,5,4,15,1.0,83,8.42,698.93,Fulfilled,2024-04-17,2024-04-22,1,0
67078,2024-03-08,104,12,2,4,31,3.0,338,39.78,13446.48,Stockout,2024-03-25,2024-04-02,1,0
62873,2024-02-08,81,11,1,5,50,1.0,1060,45.02,47721.22,Fulfilled,2024-02-13,2024-02-13,0,0
59339,2024-01-16,23,5,5,3,8,3.0,420,142.5,59851.78,Fulfilled,2024-01-25,2024-01-25,0,0
155946,2025-10-12,68,8,8,3,18,4.0,1065,12.29,13089.49,Fulfilled,2025-10-17,2025-10-17,0,0
62493,2024-02-06,37,16,6,5,24,2.0,1190,19.58,23298.03,Fulfilled,2024-02-11,2024-02-13,1,0
13290,2023-03-31,1,1,1,4,12,2.0,240,59.36,14245.24,Fulfilled,2023-04-18,2023-04-18,0,0
63252,2024-02-12,10,18,8,1,19,2.0,361,40.88,14758.51,Fulfilled,2024-02-17,2024-02-17,0,0
115352,2025-01-09,102,14,4,3,34,3.0,568,56.75,32235.04,Fulfilled,2025-01-24,2025-01-24,0,0
75106,2024-04-30,55,21,1,4,55,4.0,135,93.03,12559.5,Fulfilled,2024-05-08,2024-05-08,0,0
148348,2025-08-21,55,8,8,4,55,3.0,1486,90.8,134935.18,Fulfilled,2025-08-29,2025-08-29,0,0
114379,2024-12-31,106,16,6,2,14,1.0,253,14.44,3653.65,Fulfilled,2025-01-09,2025-01-09,0,0
24146,2023-06-06,40,2,2,3,12,1.0,695,501.14,348291.02,Fulfilled,2023-06-19,2023-06-19,0,0
77670,2024-05-17,111,19,9,2,20,1.0,738,47.0,34683.75,Fulfilled,2024-05-23,2024-05-23,0,0
91248,2024-08-15,104,12,2,5,31,1.0,121,39.42,4769.59,Fulfilled,2024-08-28,2024-08-28,0,0
155937,2025-10-08,67,1,1,1,7,2.0,793,103.48,82062.5,Fulfilled,2025-10-14,2025-10-14,0,0
31926,2023-07-28,88,16,6,3,40,1.0,327,141.81,46373.15,Fulfilled,2023-08-06,2023-08-06,0,0
164409,2025-11-24,76,6,6,1,48,1.0,47,21.4,1005.64,Fulfilled,2025-12-08,2025-12-08,0,0
31839,2023-07-27,78,16,6,2,36,4.0,1116,96.59,107792.04,Fulfilled,2023-08-03,2023-08-06,1,0
139213,2025-06-16,86,20,10,3,37,4.0,1345,110.19,148205.8,Fulfilled,2025-06-23,2025-06-23,0,0
30879,2023-07-22,93,15,5,3,53,4.0,210,11.29,2371.35,Fulfilled,2023-07-27,2023-07-27,0,0
18115,2023-04-27,71,13,3,4,12,1.0,210,20.48,4301.3,Fulfilled,2023-05-11,2023-05-11,0,0
142580,2025-07-07,119,8,8,1,1,3.0,296,2.66,787.06,Fulfilled,2025-07-14,2025-07-14,0,0
157199,2025-10-19,74,22,2,4,43,1.0,743,33.5,24888.47,Fulfilled,2025-10-24,2025-10-29,1,0
2564,2023-01-10,58,21,1,1,23,3.0,294,17.41,5119.01,Partial,2023-01-16,2023-01-27,1,0
24330,2023-06-07,56,3,3,4,47,1.0,531,39.74,21103.94,Fulfilled,2023-06-22,2023-06-26,1,0
40393,2023-09-19,96,9,9,4,29,2.0,494,29.53,14585.61,Fulfilled,2023-09-26,2023-09-26,0,0
101865,2024-10-24,61,18,8,2,46,3.0,128,6.75,863.44,Fulfilled,2024-11-06,2024-11-06,0,0
120364,2025-02-10,96,9,9,5,29,4.0,343,29.59,10148.63,Fulfilled,2025-02-16,2025-02-16,0,0
46713,2023-11-02,29,8,8,3,47,1.0,244,75.06,18315.21,Fulfilled,2023-11-19,2023-11-19,0,0
7211,2023-02-19,14,5,5,4,16,4.0,57,38.85,2214.31,Fulfilled,2023-03-04,2023-03-04,0,0
113785,2025-01-02,45,20,10,2,50,3.0,1678,5.78,9693.92,Fulfilled,2025-01-07,2025-01-07,0,0
105394,2024-11-15,55,8,8,2,55,1.0,1179,95.07,112092.92,Fulfilled,2024-11-23,2024-11-23,0,0
146348,2025-08-06,71,13,3,4,12,1.0,256,21.33,5461.42,Fulfilled,2025-08-19,2025-08-24,1,0
119331,2025-02-08,94,14,4,3,9,4.0,285,40.06,11418.29,Fulfilled,2025-02-13,2025-02-13,0,0
9808,2023-03-04,75,12,2,4,22,2.0,1223,46.26,56577.88,Fulfilled,2023-03-16,2023-03-20,1,0
41029,2023-09-29,47,18,8,2,56,4.0,454,182.36,82792.57,Fulfilled,2023-10-07,2023-10-07,0,0
108459,2024-12-07,2,6,6,4,27,1.0,1447,8.31,12030.72,Fulfilled,2024-12-22,2024-12-22,0,0
144167,2025-07-27,55,13,3,2,55,1.0,538,95.1,51162.85,Fulfilled,2025-08-04,2025-08-04,0,0
92184,2024-08-24,90,11,1,4,26,3.0,61,7.86,479.2,Stockout,2024-09-01,2024-09-11,1,0
9556,2023-02-28,48,21,1,4,2,1.0,168,81.53,13696.4,Fulfilled,2023-03-11,2023-03-11,0,0
