shipment_id,warehouse_id,supplier_id,transport_mode_id,ship_date,promised_delivery_date,actual_delivery_date,n_orders,total_qty,distance_km,shipping_cost,is_otif
1,12,48,1,2025-02-23,2025-03-11,2025-03-15,2,934.0,2326.4,84481.47,0
2,6,12,4,2024-08-17,2024-08-30,2024-09-02,1,450.0,3190.2,43954.76,0
3,14,26,3,2025-02-01,2025-02-09,2025-02-14,1,19.0,1222.4,25536.77,0
4,5,50,4,2025-09-04,2025-09-09,2025-09-11,1,409.0,383.0,4843.92,0
5,2,36,1,2023-02-17,2023-02-22,2023-02-22,1,773.0,1481.8,60338.49,1
6,22,21,1,2023-03-11,2023-03-21,2023-03-21,1,497.0,590.4,20186.68,1
7,15,27,1,2024-01-03,2024-01-14,2024-01-14,1,59.0,1278.5,12416.4,1
8,4,48,1,2024-09-04,2024-09-17,2024-09-18,1,74.0,727.2,7533.2,0
9,12,14,1,2025-05-24,2025-06-01,2025-06-01,1,835.0,2135.5,101313.28,1
10,13,9,2,2024-11-26,2024-12-03,2024-12-09,1,1207.0,1850.7,59639.63,0
11,3,50,2,2024-05-17,2024-05-20,2024-05-20,1,449.0,264.3,5531.56,1
12,14,5,1,2023-05-20,2023-05-27,2023-05-27,1,1781.0,625.1,39059.59,1
13,1,23,1,2023-03-11,2023-03-16,2023-03-16,1,474.0,2182.4,72640.5,1
14,22,56,2,2024-11-02,2024-11-11,2024-11-14,1,816.0,1897.4,52404.08,0
15,3,9,1,2025-02-22,2025-02-27,2025-02-28,1,158.0,1139.2,21208.44,0
16,8,37,1,2024-12-05,2024-12-09,2024-12-09,1,1166.0,1021.1,49368.32,1
17,2,7,1,2025-01-23,2025-01-29,2025-02-03,1,1019.0,2105.8,92089.74,0
18,2,24,1,2025-06-17,2025-06-22,2025-06-22,1,864.0,1730.4,75233.28,1
19,7,44,1,2025-09-19,2025-10-01,2025-10-01,1,343.0,2461.7,63964.22,1
20,18,43,4,2024-03-26,2024-04-01,2024-04-01,1,1094.0,431.8,6966.26,1
21,13,52,4,2025-03-25,2025-04-06,2025-04-06,1,145.0,3032.0,19355.46,1
22,21,59,2,2025-05-01,2025-05-06,2025-05-09,1,779.0,728.7,17537.81,0
23,5,44,4,2023-04-01,2023-04-10,2023-04-10,1,92.0,69.8,352.41,1
24,20,9,3,2025-12-02,2025-12-09,2025-12-14,1,1236.0,371.0,62376.31,0
25,13,19,4,2024-02-11,2024-02-14,2024-02-14,1,220.0,323.9,2147.21,1
26,6,27,3,2025-12-28,2026-01-08,2026-01-16,1,157.0,1860.6,96426.65,0
27,8,25,1,2025-09-19,2025-09-29,2025-10-03,1,710.0,3134.5,129132.37,0
28,11,15,1,2025-01-13,2025-01-21,2025-01-21,1,198.0,1029.6,16750.6,1
29,10,7,4,2025-04-06,2025-04-11,2025-04-13,1,1041.0,2685.4,53323.02,0
30,11,9,3,2024-08-01,2024-08-06,2024-08-06,1,1020.0,1029.7,161588.32,1
31,20,23,3,2024-09-20,2024-09-24,2024-09-25,1,977.0,280.9,38286.11,0
32,21,50,2,2024-05-25,2024-05-29,2024-06-01,1,757.0,1442.7,39268.68,0
33,1,2,1,2025-09-18,2025-09-30,2025-10-06,1,210.0,1302.0,24887.25,0
34,21,59,4,2025-11-01,2025-11-05,2025-11-05,1,763.0,1001.9,16215.22,1
35,16,8,2,2025-12-07,2025-12-16,2025-12-16,1,470.0,397.4,9305.69,1
36,17,30,4,2023-08-10,2023-08-17,2023-08-17,1,297.0,2963.7,32256.61,1
37,16,21,1,2025-05-04,2025-05-12,2025-05-12,1,205.0,833.5,14684.33,1
38,18,47,1,2024-03-09,2024-03-23,2024-03-23,1,1618.0,91.6,4613.62,1
39,11,34,1,2023-07-08,2023-07-18,2023-07-18,1,213.0,2368.9,46227.29,1
