supplier_id,performance_month,order_count,on_time_count,fulfilled_count,avg_qty,total_revenue,otif_rate,fill_rate,supplier_name,avg_lead_time_days,defect_rate_observed,cost_variance_pct
1,2023-01-01,72,66,70,466.4583333333333,1408248.93,0.9167,0.9722,Perez Inc,6.7,0.0029,4.03
1,2023-02-01,50,44,49,472.62,876856.15,0.88,0.98,Perez Inc,6.9,0.0039,4.39
1,2023-03-01,72,67,71,523.9861111111111,1654813.73,0.9306,0.9861,Perez Inc,6.8,0.0047,2.62
1,2023-04-01,60,53,59,520.4666666666667,1307233.21,0.8833,0.9833,Perez Inc,7.0,0.0051,3.7
1,2023-05-01,76,65,66,582.2894736842105,2100490.24,0.8553,0.8684,Perez Inc,7.2,0.0048,4.52
1,2023-06-01,59,51,56,569.1525423728814,1405456.15,0.8644,0.9492,Perez Inc,6.8,0.0031,4.87
1,2023-07-01,63,53,58,473.031746031746,1173190.81,0.8413,0.9206,Perez Inc,7.0,0.0028,3.89
1,2023-08-01,61,54,57,520.016393442623,1301486.88,0.8852,0.9344,Perez Inc,6.7,0.0046,3.2
1,2023-09-01,57,48,52,498.1929824561403,1144752.08,0.8421,0.9123,Perez Inc,7.2,0.0035,3.27
1,2023-10-01,76,64,67,566.5394736842105,2015081.04,0.8421,0.8816,Perez Inc,7.1,0.003,3.6
1,2023-11-01,81,70,70,594.0370370370371,2368023.48,0.8642,0.8642,Perez Inc,7.2,0.0028,2.73
1,2023-12-01,83,64,71,594.7349397590361,2468054.06,0.7711,0.8554,Perez Inc,7.2,0.0028,3.3
1,2024-01-01,62,59,60,456.8870967741936,1063139.89,0.9516,0.9677,Perez Inc,6.7,0.0031,3.19
1,2024-02-01,53,42,46,553.9056603773585,1044217.35,0.7925,0.8679,Perez Inc,7.4,0.0043,2.31
1,2024-03-01,68,60,63,545.0735294117648,1650809.14,0.8824,0.9265,Perez Inc,7.1,0.0051,3.53
1,2024-04-01,62,53,57,541.9677419354839,1477848.66,0.8548,0.9194,Perez Inc,6.9,0.0043,0.49
1,2024-05-01,68,58,62,530.8088235294117,1694451.32,0.8529,0.9118,Perez Inc,6.8,0.0034,5.4
1,2024-06-01,64,55,61,519.390625,1397727.22,0.8594,0.9531,Perez Inc,7.1,0.0026,2.4
1,2024-07-01,63,55,56,552.2222222222222,1382237.95,0.873,0.8889,Perez Inc,7.0,0.0048,2.35
1,2024-08-01,65,56,59,501.18461538461537,1465172.79,0.8615,0.9077,Perez Inc,7.0,0.0044,2.22
1,2024-09-01,64,57,61,501.125,1364726.84,0.8906,0.9531,Perez Inc,6.8,0.0041,4.07
1,2024-10-01,69,58,65,493.84057971014494,1513548.12,0.8406,0.942,Perez Inc,7.2,0.0039,2.86
1,2024-11-01,79,67,70,620.9113924050633,2429977.73,0.8481,0.8861,Perez Inc,7.2,0.004,2.15
1,2024-12-01,85,63,73,615.3529411764706,2665104.73,0.7412,0.8588,Perez Inc,7.6,0.0029,3.27
1,2025-01-01,68,57,61,529.1176470588235,1648391.99,0.8382,0.8971,Perez Inc,7.2,0.003,3.26
1,2025-02-01,59,54,57,523.8135593220339,1330254.85,0.9153,0.9661,Perez Inc,6.6,0.0027,2.61
1,2025-03-01,57,46,51,516.0,1157734.66,0.807,0.8947,Perez Inc,7.2,0.0047,3.25
1,2025-04-01,59,52,54,509.89830508474574,1287132.06,0.8814,0.9153,Perez Inc,7.0,0.0041,5.72
1,2025-05-01,69,59,65,542.5797101449275,1488561.93,0.8551,0.942,Perez Inc,7.2,0.0048,4.54
1,2025-06-01,68,59,61,537.1911764705883,1724356.41,0.8676,0.8971,Perez Inc,7.0,0.0044,3.09
1,2025-07-01,58,56,57,524.0344827586207,1288374.27,0.9655,0.9828,Perez Inc,6.5,0.0045,5.86
1,2025-08-01,67,59,64,508.13432835820896,1401365.03,0.8806,0.9552,Perez Inc,6.9,0.0039,3.89
1,2025-09-01,61,55,58,499.0163934426229,1259390.48,0.9016,0.9508,Perez Inc,6.6,0.0031,4.6
1,2025-10-01,80,66,72,573.8375,2193977.02,0.825,0.9,Perez Inc,7.3,0.0041,3.33
