entity_type,sku,category,warehouse,week,stockout_probability,risk_band,evidence
SKU-Warehouse,SKU-00001,Packaged Foods,North Judithbury Distribution Center,2025-12-22,0.305,Medium,Inventory coverage declined from 16.2 to 14.2 days of supply.; Late deliveries for this product-warehouse rose from 5 to 7 orders over the last 4 weeks.
SKU-Warehouse,SKU-00001,Packaged Foods,East Jill Distribution Center,2025-12-22,0.425,Medium,Late deliveries for this product-warehouse rose from 6 to 8 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 3 in the same comparison window.
SKU-Warehouse,SKU-00001,Packaged Foods,New Roberttown Distribution Center,2025-12-22,0.584,High,"Demand decreased 16% (1040 -> 876 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 4 orders over the last 4 weeks."
SKU-Warehouse,SKU-00001,Packaged Foods,North Noahstad Distribution Center,2025-12-22,0.424,Medium,Inventory coverage improved from 1.8 to 7.1 days of supply.; Late deliveries for this product-warehouse rose from 3 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.
SKU-Warehouse,SKU-00001,Packaged Foods,Cassandraton Distribution Center,2025-12-22,0.62,High,"Demand decreased 21% (2485 -> 1959 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00001,Packaged Foods,Herrerafurt Distribution Center,2025-12-22,0.475,Medium,"Demand decreased 18% (1727 -> 1419 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00001,Packaged Foods,New Kellystad Distribution Center,2025-12-22,0.511,High,"Demand decreased 13% (665 -> 578 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00001,Packaged Foods,Lake Chad Distribution Center,2025-12-22,0.52,High,"Demand decreased 19% (2368 -> 1913 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 18.4 to 15.0 days of supply."
SKU-Warehouse,SKU-00001,Packaged Foods,New Jessica Distribution Center,2025-12-22,0.364,Medium,"Demand increased 23% (1854 -> 2281 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 17.3 to 6.5 days of supply.; Late deliveries for this product-warehouse rose from 2 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00001,Packaged Foods,South Noah Distribution Center,2025-12-22,0.162,Low,"Demand decreased 24% (2032 -> 1542 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 7.7 to 10.8 days of supply."
SKU-Warehouse,SKU-00002,Personal Care,Robinsonshire Distribution Center,2025-12-22,0.612,High,"Demand increased 147% (1180 -> 2918 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 5.4 to 4.1 days of supply.; Late deliveries for this product-warehouse rose from 1 to 9 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00002,Personal Care,Lisatown Distribution Center,2025-12-22,0.367,Medium,"Demand decreased 40% (2062 -> 1232 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 11.2 to 6.9 days of supply."
SKU-Warehouse,SKU-00002,Personal Care,Lake Roberto Distribution Center,2025-12-22,0.739,High,"Demand decreased 18% (1439 -> 1176 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 10.6 to 7.9 days of supply.; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00002,Personal Care,Ericmouth Distribution Center,2025-12-22,0.637,High,"Demand decreased 31% (2618 -> 1819 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window."
SKU-Warehouse,SKU-00002,Personal Care,New Kellystad Distribution Center,2025-12-22,0.464,Medium,"Demand increased 58% (978 -> 1542 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 3 in the same comparison window."
SKU-Warehouse,SKU-00002,Personal Care,Lake Chad Distribution Center,2025-12-22,0.269,Medium,"Demand increased 19% (2304 -> 2749 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.3 to 1.1 days of supply."
SKU-Warehouse,SKU-00002,Personal Care,Port Jesseville Distribution Center,2025-12-22,0.498,Medium,"Demand decreased 41% (1773 -> 1040 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 1.5 to 3.3 days of supply."
SKU-Warehouse,SKU-00002,Personal Care,West Michael Distribution Center,2025-12-22,0.423,Medium,"Demand increased 92% (1233 -> 2368 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 8 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00002,Personal Care,New Jessica Distribution Center,2025-12-22,0.44,Medium,"Demand decreased 46% (2648 -> 1428 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00002,Personal Care,Lake Mark Distribution Center,2025-12-22,0.58,High,"Demand decreased 18% (2022 -> 1650 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00003,Office Supplies,North Judithbury Distribution Center,2025-12-22,0.17,Low,"Demand decreased 33% (1142 -> 769 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00003,Office Supplies,East Jessetown Distribution Center,2025-12-22,0.149,Low,"Demand increased 22% (748 -> 910 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00003,Office Supplies,Lake Debra Distribution Center,2025-12-22,0.116,Low,"Demand increased 46% (360 -> 524 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.5 to 3.1 days of supply.; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00003,Office Supplies,Robinsonshire Distribution Center,2025-12-22,0.102,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00003,Office Supplies,North Noahstad Distribution Center,2025-12-22,0.161,Low,"Demand increased 29% (754 -> 975 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00003,Office Supplies,New Kellystad Distribution Center,2025-12-22,0.083,Low,"Demand increased 29% (348 -> 450 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 18.3 to 13.7 days of supply."
SKU-Warehouse,SKU-00003,Office Supplies,Port Keith Distribution Center,2025-12-22,0.197,Low,"Demand decreased 29% (462 -> 328 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 6.3 to 9.2 days of supply."
SKU-Warehouse,SKU-00003,Office Supplies,West Michael Distribution Center,2025-12-22,0.112,Low,"Demand increased 81% (565 -> 1020 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.1 to 0.0 days of supply.; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00003,Office Supplies,Jacquelineland Distribution Center,2025-12-22,0.329,Medium,"Demand increased 50% (556 -> 834 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 5.8 to 0.0 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00003,Office Supplies,South Noah Distribution Center,2025-12-22,0.413,Medium,"Demand increased 65% (626 -> 1030 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00004,Home & Kitchen,New Roberttown Distribution Center,2025-12-22,0.209,Low,"Demand decreased 13% (332 -> 290 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00004,Home & Kitchen,East Jessetown Distribution Center,2025-12-22,0.323,Medium,Inventory coverage declined from 6.6 to 3.0 days of supply.; Late deliveries for this product-warehouse rose from 0 to 3 orders over the last 4 weeks.
SKU-Warehouse,SKU-00004,Home & Kitchen,Lisatown Distribution Center,2025-12-22,0.162,Low,Inventory coverage improved from 0.9 to 1.5 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.
SKU-Warehouse,SKU-00004,Home & Kitchen,North Noahstad Distribution Center,2025-12-22,0.213,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00004,Home & Kitchen,Jacquelineland Distribution Center,2025-12-22,0.08,Low,"Demand increased 71% (323 -> 554 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 9.6 to 3.5 days of supply."
SKU-Warehouse,SKU-00004,Home & Kitchen,South Noah Distribution Center,2025-12-22,0.115,Low,"Demand decreased 11% (508 -> 450 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00004,Home & Kitchen,Lake Mark Distribution Center,2025-12-22,0.134,Low,Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.
